Dataset,Distance,Num_Clusters_Mean,Num_Clusters_Std_Error
Sparsity_0.124,euclidean,9.0,0.0
Sparsity_0.124,manhattan,5.0,0.0
Sparsity_0.124,cosine,7.9,0.14327007988227577
Sparsity_0.124,minkowski_p0.5,4.85,0.08191780219091252
Sparsity_0.124,minkowski_p0.7,5.0,0.0
Sparsity_0.124,minkowski_p4,7.8,0.0917662935482247
Sparsity_0.535,euclidean,8.95,0.1352385806055747
Sparsity_0.535,manhattan,5.0,0.0
Sparsity_0.535,cosine,7.6,0.2339590607462407
Sparsity_0.535,minkowski_p0.5,4.0,0.0
Sparsity_0.535,minkowski_p0.7,5.0,0.0
Sparsity_0.535,minkowski_p4,8.6,0.11239029738980327
Sparsity_0.563,euclidean,8.0,0.07254762501100116
Sparsity_0.563,manhattan,6.0,0.0
Sparsity_0.563,cosine,6.5,0.11470786693528086
Sparsity_0.563,minkowski_p0.5,4.0,0.0
Sparsity_0.563,minkowski_p0.7,4.95,0.04999999999999999
Sparsity_0.563,minkowski_p4,8.35,0.20869267255691407
Sparsity_0.600,euclidean,8.8,0.09176629354822469
Sparsity_0.600,manhattan,5.95,0.04999999999999999
Sparsity_0.600,cosine,8.5,0.13572417850765922
Sparsity_0.600,minkowski_p0.5,4.0,0.0
Sparsity_0.600,minkowski_p0.7,4.95,0.04999999999999999
Sparsity_0.600,minkowski_p4,8.2,0.0917662935482247
Sparsity_0.630,euclidean,8.95,0.08810878443570108
Sparsity_0.630,manhattan,5.0,0.0
Sparsity_0.630,cosine,7.45,0.16975214129336985
Sparsity_0.630,minkowski_p0.5,4.0,0.0
Sparsity_0.630,minkowski_p0.7,5.0,0.0
Sparsity_0.630,minkowski_p4,9.05,0.18460484112942718
Sparsity_0.661,euclidean,8.3,0.10513149660756936
Sparsity_0.661,manhattan,4.95,0.049999999999999996
Sparsity_0.661,cosine,7.65,0.1094243309804831
Sparsity_0.661,minkowski_p0.5,4.0,0.0
Sparsity_0.661,minkowski_p0.7,5.0,0.0
Sparsity_0.661,minkowski_p4,7.65,0.15000000000000002
Sparsity_0.699,euclidean,8.65,0.1094243309804831
Sparsity_0.699,manhattan,4.95,0.04999999999999999
Sparsity_0.699,cosine,7.45,0.18460484112942718
Sparsity_0.699,minkowski_p0.5,4.0,0.0
Sparsity_0.699,minkowski_p0.7,4.8,0.0917662935482247
Sparsity_0.699,minkowski_p4,8.5,0.1538967528127731
Sparsity_0.731,euclidean,7.85,0.13128915456069917
Sparsity_0.731,manhattan,4.95,0.04999999999999999
Sparsity_0.731,cosine,7.45,0.1983484440653818
Sparsity_0.731,minkowski_p0.5,5.0,0.0
Sparsity_0.731,minkowski_p0.7,5.0,0.0
Sparsity_0.731,minkowski_p4,7.95,0.04999999999999999
Sparsity_0.775,euclidean,8.9,0.06882472016116851
Sparsity_0.775,manhattan,5.0,0.0
Sparsity_0.775,cosine,6.55,0.1352385806055747
Sparsity_0.775,minkowski_p0.5,4.0,0.0
Sparsity_0.775,minkowski_p0.7,5.0,0.0
Sparsity_0.775,minkowski_p4,8.0,0.0
Sparsity_0.840,euclidean,9.0,0.0
Sparsity_0.840,manhattan,5.0,0.0
Sparsity_0.840,cosine,6.25,0.09933992677987828
Sparsity_0.840,minkowski_p0.5,2.0,0.0
Sparsity_0.840,minkowski_p0.7,5.0,0.0
Sparsity_0.840,minkowski_p4,8.8,0.11697953037312038
Sparsity_0.905,euclidean,8.5,0.13572417850765922
Sparsity_0.905,manhattan,4.25,0.09933992677987828
Sparsity_0.905,cosine,6.25,0.09933992677987828
Sparsity_0.905,minkowski_p0.5,3.0,0.0
Sparsity_0.905,minkowski_p0.7,4.0,0.0
Sparsity_0.905,minkowski_p4,8.0,0.07254762501100116
