Dataset,Distance,Num_Clusters_Mean,Num_Clusters_Std_Error
Sparsity_0.124,euclidean,6.0,0.0
Sparsity_0.124,manhattan,5.7,0.10513149660756936
Sparsity_0.124,cosine,5.55,0.11413288653790232
Sparsity_0.124,minkowski_p0.1,48.15,0.23254880642226708
Sparsity_0.124,minkowski_p0.5,4.0,0.0
Sparsity_0.124,minkowski_p0.7,4.0,0.0
Sparsity_0.124,minkowski_p4,6.2,0.0917662935482247
Sparsity_0.327,euclidean,6.65,0.1094243309804831
Sparsity_0.327,manhattan,5.4,0.11239029738980327
Sparsity_0.327,cosine,6.2,0.18637822325921866
Sparsity_0.327,minkowski_p0.1,409.3,0.23055995909273166
Sparsity_0.327,minkowski_p0.5,4.0,0.0
Sparsity_0.327,minkowski_p0.7,4.0,0.0
Sparsity_0.327,minkowski_p4,7.25,0.12301048307916045
Sparsity_0.389,euclidean,6.0,0.0
Sparsity_0.389,manhattan,5.7,0.10513149660756936
Sparsity_0.389,cosine,5.65,0.1094243309804831
Sparsity_0.389,minkowski_p0.1,701.55,0.1352385806055747
Sparsity_0.389,minkowski_p0.5,4.0,0.0
Sparsity_0.389,minkowski_p0.7,4.0,0.0
Sparsity_0.389,minkowski_p4,6.0,0.0
Sparsity_0.461,euclidean,6.0,0.0
Sparsity_0.461,manhattan,6.0,0.0
Sparsity_0.461,cosine,5.6,0.11239029738980327
Sparsity_0.461,minkowski_p0.1,825.0,0.0
Sparsity_0.461,minkowski_p0.5,4.0,0.0
Sparsity_0.461,minkowski_p0.7,4.0,0.0
Sparsity_0.461,minkowski_p4,6.25,0.12301048307916045
Sparsity_0.526,euclidean,6.1,0.06882472016116853
Sparsity_0.526,manhattan,5.9,0.06882472016116853
Sparsity_0.526,cosine,5.6,0.11239029738980327
Sparsity_0.526,minkowski_p0.1,769.7,0.10513149660756935
Sparsity_0.526,minkowski_p0.5,4.0,0.0
Sparsity_0.526,minkowski_p0.7,4.0,0.0
Sparsity_0.526,minkowski_p4,6.15,0.08191780219091253
Sparsity_0.581,euclidean,6.1,0.06882472016116853
Sparsity_0.581,manhattan,5.85,0.08191780219091253
Sparsity_0.581,cosine,5.65,0.1094243309804831
Sparsity_0.581,minkowski_p0.1,715.95,0.05000000000000001
Sparsity_0.581,minkowski_p0.5,4.0,0.0
Sparsity_0.581,minkowski_p0.7,4.0,0.0
Sparsity_0.581,minkowski_p4,5.9,0.06882472016116853
Sparsity_0.648,euclidean,6.05,0.04999999999999999
Sparsity_0.648,manhattan,5.95,0.04999999999999999
Sparsity_0.648,cosine,5.3,0.10513149660756936
Sparsity_0.648,minkowski_p0.1,343.0,0.0
Sparsity_0.648,minkowski_p0.5,4.0,0.0
Sparsity_0.648,minkowski_p0.7,4.0,0.0
Sparsity_0.648,minkowski_p4,6.6,0.13377121081198773
Sparsity_0.692,euclidean,6.0,0.0
Sparsity_0.692,manhattan,5.95,0.04999999999999999
Sparsity_0.692,cosine,5.15,0.08191780219091253
Sparsity_0.692,minkowski_p0.1,49.0,0.0
Sparsity_0.692,minkowski_p0.5,3.7,0.10513149660756936
Sparsity_0.692,minkowski_p0.7,4.0,0.0
Sparsity_0.692,minkowski_p4,6.1,0.06882472016116853
Sparsity_0.754,euclidean,6.15,0.08191780219091252
Sparsity_0.754,manhattan,5.9,0.06882472016116851
Sparsity_0.754,cosine,5.35,0.1094243309804831
Sparsity_0.754,minkowski_p0.1,19.0,0.0
Sparsity_0.754,minkowski_p0.5,3.0,0.0
Sparsity_0.754,minkowski_p0.7,4.0,0.0
Sparsity_0.754,minkowski_p4,6.5,0.13572417850765922
Sparsity_0.832,euclidean,6.05,0.1352385806055747
Sparsity_0.832,manhattan,5.75,0.09933992677987828
Sparsity_0.832,cosine,5.0,0.0
Sparsity_0.832,minkowski_p0.1,14.0,0.0
Sparsity_0.832,minkowski_p0.5,2.0,0.0
Sparsity_0.832,minkowski_p0.7,4.0,0.0
Sparsity_0.832,minkowski_p4,6.15,0.1094243309804831
Sparsity_0.902,euclidean,5.8,0.09176629354822469
Sparsity_0.902,manhattan,4.5,0.13572417850765922
Sparsity_0.902,cosine,4.9,0.12354415362426845
Sparsity_0.902,minkowski_p0.1,28.0,0.0
Sparsity_0.902,minkowski_p0.5,1.0,0.0
Sparsity_0.902,minkowski_p0.7,2.5,0.11470786693528086
Sparsity_0.902,minkowski_p4,5.75,0.09933992677987828
