Dataset,Distance,Mean_ARI,Std_Error,Mean_ARI_Stability,Std_Error_Stability,Mean_Homogeneity,Std_Error_Homogenity,Mean_Completeness,Std_Error_Completeness,Mean_V_Score,Std_Error_V_Score
Sparsity_0.124,euclidean,0.6039895884236248,0.003485204512094487,1.0,0.0,0.6598397925118399,0.0018768909216073065,0.6404273296972128,0.002348942291865905,0.6499792064492496,0.0020614803977352806
Sparsity_0.124,manhattan,0.7166951838282312,0.001515789189460207,1.0,0.0,0.7626105560203433,0.0008224994459410889,0.7977037401504676,0.00421609974143893,0.7796591531196909,0.002108192722130174
Sparsity_0.124,cosine,0.5967991458214089,0.0066153446612248765,1.0,0.0,0.6445303795127518,0.006126061983019991,0.6400872528056201,0.005492595089427802,0.6421514533745907,0.005361367243687469
Sparsity_0.124,minkowski_p0.1,0.0878672079922307,0.001035002949905587,1.0,0.0,0.48083964735408824,0.0010895661772677085,0.21384166570908306,0.0006481209276536109,0.2960275290896119,0.0008019015054754661
Sparsity_0.124,minkowski_p0.5,0.7654697464339704,0.00014027508896230793,1.0,0.0,0.8035734346171847,0.00014786648121269585,0.9727851956637578,0.00015495715104791295,0.8801199546656573,0.0001521101732885413
Sparsity_0.124,minkowski_p0.7,0.7651395347599272,7.137983562981743e-08,1.0,0.0,0.8008646946623129,1.6236885481639183e-05,0.9687768774918857,2.0233937782401522e-05,0.8768546245696761,1.8020327934765843e-05
Sparsity_0.124,minkowski_p4,0.5199591403705773,0.005083127550780215,1.0,0.0,0.5743755768350162,0.00371620907046774,0.5509732847552963,0.005460112949943697,0.5623719475512813,0.00455543537160368
Sparsity_0.327,euclidean,0.5642012973674914,0.006150620858476727,0.7129870400108608,0.006034321176137017,0.6172754369432756,0.00483994763794701,0.5789456100229613,0.006737647295456352,0.5971170646063969,0.004885653018619373
Sparsity_0.327,manhattan,0.7080951443227516,0.00244307394201484,0.603709591097058,0.00439912694129179,0.7554082935185823,0.0014755277439398333,0.7980596067318869,0.00605892500289014,0.775956214304008,0.003180379119484639
Sparsity_0.327,cosine,0.5530506444332275,0.005193842321520965,0.6958284581147005,0.006693045673653033,0.6063089416410725,0.004323470813952759,0.5594641615751585,0.007400395319894887,0.5812495353075973,0.004087082450158258
Sparsity_0.327,minkowski_p0.1,0.02295422642919038,0.0001592906393764541,0.018601180454356592,0.0001924202532086349,0.33730055068382964,0.0006014339341552431,0.11979047528290335,0.0001968306035941736,0.17679327969961728,0.00029152080173017414
Sparsity_0.327,minkowski_p0.5,0.7599542749420781,5.4331913207277015e-05,0.526392619722342,4.006280360924188e-05,0.7967369968421195,0.00016969195580825505,0.9650476932811711,0.0002285837760482507,0.8728526285877722,0.00019532939110964185
