Dataset,Distance,Mean_ARI,Std_Error,Mean_ARI_Stability,Std_Error_Stability,Mean_Homogeneity,Std_Error_Homogenity,Mean_Completeness,Std_Error_Completeness,Mean_V_Score,Std_Error_V_Score
Sparsity_0.123,euclidean,0.5793248642349871,0.0005993564662798125,1.0,0.0,0.7366463690685477,0.0006792240314631917,0.5963306404731402,0.0005289576770564427,0.6591026831939619,0.0005755063128427594
Sparsity_0.123,manhattan,0.6335459435345819,0.0003247191359284166,1.0,0.0,0.7369541083946813,0.0003392055429939662,0.6310144548025411,0.0003455285266516952,0.6798821023263669,0.00034437781213600237
Sparsity_0.123,cosine,0.616128294299161,0.007050703246986855,1.0,0.0,0.7432087907025534,0.0029177995472102476,0.6377144418930973,0.00505206902410473,0.6862083574922336,0.003356369958597092
Sparsity_0.123,minkowski_p0.5,0.6476037112991937,0.0006017572516932811,1.0,0.0,0.7245219188336959,0.00046216801446476646,0.6723865064583447,0.0013494286320399236,0.6974663923596218,0.0007341000460405109
Sparsity_0.123,minkowski_p0.7,0.6344097608482354,0.000179830234104404,1.0,0.0,0.7356028624024615,0.00024455648586051035,0.6305523980556289,0.00016105029675872096,0.6790385722402262,0.00018708567548990484
Sparsity_0.123,minkowski_p4,0.5711408308417036,0.0004538764930722738,1.0,0.0,0.7281442591812411,0.0007713288136461489,0.5890529321431632,0.0005033130114959363,0.6512542597083573,0.0006040871524465453
Sparsity_0.497,euclidean,0.5380342286099594,0.001755617168831224,0.8969476168840298,0.003502750065628907,0.6649685626930485,0.003619008848108113,0.5576164437199789,0.0017471200880373426,0.6065318583623792,0.0023096047285767344
Sparsity_0.497,manhattan,0.5569156574582681,0.0019024286162752804,0.8924086335463587,0.0034161921258753776,0.680847723889675,0.0035201250279648546,0.5756709248969561,0.0016078565179271388,0.6238073835524023,0.00215744668689036
Sparsity_0.497,cosine,0.5623741905638884,0.002362178769666008,0.690821064586235,0.0030037496687456344,0.6965067274160783,0.001211880093200439,0.5926925627702592,0.0013558385851766028,0.6404182819572277,0.0012966240987238242
Sparsity_0.497,minkowski_p0.5,0.6021434237332751,0.006438555207533534,0.8469405644506788,0.0013949081214713226,0.7025486208810593,0.004710158669129827,0.6016632156016238,0.004365343280751387,0.6482027751574951,0.004537504881777335
Sparsity_0.497,minkowski_p0.7,0.5681819799815581,0.004513573137886935,0.872019509502312,0.0009774206372084309,0.6805892853212355,0.003263721150128111,0.5813435284357725,0.003004480964847613,0.6270632341555704,0.003132082878925629
Sparsity_0.497,minkowski_p4,0.5270216937043245,0.001141747301371142,0.8826155098311095,0.0016188810314707518,0.6473246878201003,0.0012675642196991054,0.5483175483207166,0.0011018341033975521,0.5937008833046558,0.0008568847519631164
Sparsity_0.523,euclidean,0.5854012704848557,0.0025970059233188956,0.8397270615282462,0.0034640119353747854,0.7276154346662232,0.0009042856701609096,0.5785133882183854,0.0021667870253754056,0.6445098589992548,0.0013996210531416794
Sparsity_0.523,manhattan,0.6206629931274439,0.002020289686723382,0.7956406111434461,0.0022718262720666437,0.7216121343662552,0.001220403747009304,0.6331655513900342,0.0022718350360858386,0.6744625942028389,0.0015246555273045169
Sparsity_0.523,cosine,0.6614378290734628,0.005202700524980244,0.6871210660529378,0.006945659960173272,0.7236816355582084,0.0015900182327120514,0.679521850816486,0.005227075836757305,0.7007567608660816,0.003278550842290032
Sparsity_0.523,minkowski_p0.5,0.6487855270913128,0.0011626691438413228,0.7642248197844117,0.003437465265327972,0.7180908965636055,0.0009468552718170975,0.6663705450964201,0.0018049072326492437,0.6912416082839343,0.0011553953355304225
Sparsity_0.523,minkowski_p0.7,0.6425559372022775,0.0021856278135614715,0.7774596757535011,0.002506171045561357,0.7189040273473565,0.0010669360377206162,0.6630343132062319,0.0014905114208718256,0.6898376153131724,0.0012945204141971665
Sparsity_0.523,minkowski_p4,0.5677896184196671,0.0019653651099725174,0.8307532240687253,0.0019547052787441503,0.7116980872704498,0.000909502775387769,0.5597919191026676,0.0013702830333294307,0.6266458343029273,0.0008769862579895111
Sparsity_0.562,euclidean,0.6111418231851838,0.0024809541411729393,0.8622856833787793,0.005672519419507803,0.7256031003298484,0.0014861616660204083,0.6104155966134023,0.0035298279145774304,0.6628868701395075,0.0017631802077959567
Sparsity_0.562,manhattan,0.6477843333961112,0.0019516452518448036,0.8029994652175466,0.0014696192645135345,0.7315729530630842,0.000656013722916593,0.6653571529364871,0.002462359864306044,0.6968379846499079,0.0012495992411496843
Sparsity_0.562,cosine,0.6756304839271513,0.0036937648074520987,0.6783456757207351,0.004174754406239274,0.7395051929224986,0.001697572010284219,0.6943507773848501,0.004020616851412054,0.7161027509190626,0.002433463322927896
Sparsity_0.562,minkowski_p0.5,0.6451084152526219,0.002171091975624696,0.737664887075385,0.00856127427040092,0.7151905629335895,0.0014178015181624329,0.6715708231006148,0.002840102329285711,0.6926203780472062,0.001614218272967202
Sparsity_0.562,minkowski_p0.7,0.6541480928764483,0.0006129578952467155,0.7803720836080131,0.003937804776328667,0.7273995790612737,0.0006121875205892368,0.674017187722146,0.0010043858225699952,0.6996756466291163,0.0003604954576117482
Sparsity_0.562,minkowski_p4,0.5984689073189499,0.0019602941968622275,0.8760897790963819,0.0020953831295038544,0.7154055300250877,0.00043946492196545285,0.5920586957468408,0.0010405981056788968,0.6479078769909014,0.0007652730930042758
Sparsity_0.601,euclidean,0.6529499472034475,0.0029791703206234962,0.7779997633244855,0.003730426321813609,0.7424566124383689,0.001550351503266127,0.6605199943882943,0.003904507730430345,0.6989641420483069,0.0022682092690563403
Sparsity_0.601,manhattan,0.6636307276563076,0.0019374631060369186,0.7713612109219737,0.0044292647596004195,0.7385038403485114,0.0014259593631121895,0.6807088974140024,0.0026988336646346952,0.7083827138647993,0.0018025902807011747
Sparsity_0.601,cosine,0.6984765351176547,0.004738156617060157,0.6628153445003049,0.0015217538113051104,0.7403536329297312,0.0007605075906424609,0.7217405137905643,0.004621782788738518,0.7307989223336449,0.002527039577041853
Sparsity_0.601,minkowski_p0.5,0.6552109230490142,0.002853018277079041,0.6637738410585418,0.011974006682875168,0.7185424860376118,0.0028610776549760413,0.7187775798386231,0.007135100628837183,0.7180678995546935,0.00257545575175211
Sparsity_0.601,minkowski_p0.7,0.6605973788598776,0.003258434747567241,0.7206189086169655,0.008309025585886736,0.73262330526561,0.0024686899740110407,0.6978535082862409,0.003010068790899446,0.7146519157566469,0.0012021286700606639
Sparsity_0.601,minkowski_p4,0.6401246248100756,0.002366961769214478,0.7886283753975837,0.002758843484169721,0.7353706551649626,0.0014684983126420706,0.6383139191447285,0.0020876132811325884,0.6833830479965198,0.0015625318595252622
Sparsity_0.636,euclidean,0.6211769822211148,0.0009325628049860596,0.8258919293814839,0.0005371066495541848,0.7187901676500579,0.00038951681604603794,0.6354285603052429,0.0007034651944936312,0.6745398841051011,0.0004752134668501039
Sparsity_0.636,manhattan,0.6299947531828384,0.001466459528369252,0.8053502499953089,0.005225920796130832,0.7245212086769659,0.0010131727122767702,0.6470246871642436,0.0017068482034970339,0.6835590453740639,0.0011145113832612401
Sparsity_0.636,cosine,0.6721152286824847,0.0045797127258655245,0.68012095421113,0.005046925253182131,0.729698007203612,0.0025644074955382006,0.6915473659575596,0.00495187686017602,0.7100463052127028,0.0037522960085247877
