Dataset,Distance,Num_Clusters_Mean,Num_Clusters_Std_Error
Sparsity_0.124,euclidean,6.0,0.0
Sparsity_0.124,manhattan,6.0,0.0
Sparsity_0.124,cosine,5.05,0.04999999999999999
Sparsity_0.124,minkowski_p0.1,3.1,0.14327007988227577
Sparsity_0.124,minkowski_p0.5,4.55,0.11413288653790232
Sparsity_0.124,minkowski_p0.7,5.75,0.09933992677987828
Sparsity_0.124,minkowski_p4,6.05,0.04999999999999999
Sparsity_0.327,euclidean,6.85,0.13128915456069917
Sparsity_0.327,manhattan,5.95,0.04999999999999999
Sparsity_0.327,cosine,5.95,0.04999999999999999
Sparsity_0.327,minkowski_p0.1,2.5,0.13572417850765922
Sparsity_0.327,minkowski_p0.5,4.55,0.11413288653790232
Sparsity_0.327,minkowski_p0.7,5.7,0.10513149660756936
Sparsity_0.327,minkowski_p4,6.75,0.09933992677987828
Sparsity_0.389,euclidean,6.0,0.0
Sparsity_0.389,manhattan,5.9,0.06882472016116853
Sparsity_0.389,cosine,5.0,0.0
Sparsity_0.389,minkowski_p0.1,2.95,0.04999999999999999
Sparsity_0.389,minkowski_p0.5,4.95,0.04999999999999999
Sparsity_0.389,minkowski_p0.7,5.7,0.10513149660756936
Sparsity_0.389,minkowski_p4,5.95,0.04999999999999999
Sparsity_0.461,euclidean,6.15,0.08191780219091252
Sparsity_0.461,manhattan,5.95,0.04999999999999999
Sparsity_0.461,cosine,5.0,0.0
Sparsity_0.461,minkowski_p0.1,2.45,0.11413288653790232
Sparsity_0.461,minkowski_p0.5,4.75,0.09933992677987828
Sparsity_0.461,minkowski_p0.7,5.25,0.12301048307916045
Sparsity_0.461,minkowski_p4,6.0,0.0
Sparsity_0.526,euclidean,6.0,0.0
Sparsity_0.526,manhattan,6.0,0.0
Sparsity_0.526,cosine,5.05,0.04999999999999999
Sparsity_0.526,minkowski_p0.1,2.65,0.13128915456069917
Sparsity_0.526,minkowski_p0.5,4.85,0.08191780219091252
Sparsity_0.526,minkowski_p0.7,5.7,0.10513149660756936
Sparsity_0.526,minkowski_p4,6.1,0.06882472016116853
Sparsity_0.581,euclidean,6.0,0.0
Sparsity_0.581,manhattan,6.0,0.0
Sparsity_0.581,cosine,5.0,0.0
Sparsity_0.581,minkowski_p0.1,2.5,0.13572417850765922
Sparsity_0.581,minkowski_p0.5,4.95,0.04999999999999999
Sparsity_0.581,minkowski_p0.7,5.25,0.09933992677987828
Sparsity_0.581,minkowski_p4,6.0,0.0
Sparsity_0.648,euclidean,6.05,0.04999999999999999
Sparsity_0.648,manhattan,5.95,0.04999999999999999
Sparsity_0.648,cosine,5.25,0.09933992677987828
Sparsity_0.648,minkowski_p0.1,2.1,0.06882472016116851
Sparsity_0.648,minkowski_p0.5,4.9,0.06882472016116853
Sparsity_0.648,minkowski_p0.7,5.3,0.10513149660756936
Sparsity_0.648,minkowski_p4,6.05,0.04999999999999999
Sparsity_0.692,euclidean,6.0,0.0
Sparsity_0.692,manhattan,6.0,0.0
Sparsity_0.692,cosine,5.0,0.0
Sparsity_0.692,minkowski_p0.1,2.1,0.06882472016116853
Sparsity_0.692,minkowski_p0.5,5.0,0.0
Sparsity_0.692,minkowski_p0.7,5.5,0.11470786693528086
Sparsity_0.692,minkowski_p4,6.05,0.04999999999999999
Sparsity_0.754,euclidean,6.1,0.06882472016116853
Sparsity_0.754,manhattan,5.95,0.04999999999999999
Sparsity_0.754,cosine,5.0,0.0
Sparsity_0.754,minkowski_p0.1,2.0,0.0
Sparsity_0.754,minkowski_p0.5,4.35,0.1094243309804831
Sparsity_0.754,minkowski_p0.7,5.15,0.08191780219091253
Sparsity_0.754,minkowski_p4,6.05,0.08810878443570108
Sparsity_0.832,euclidean,5.9,0.06882472016116853
Sparsity_0.832,manhattan,5.7,0.10513149660756936
Sparsity_0.832,cosine,5.0,0.0
Sparsity_0.832,minkowski_p0.1,2.05,0.04999999999999999
Sparsity_0.832,minkowski_p0.5,4.8,0.0917662935482247
Sparsity_0.832,minkowski_p0.7,5.0,0.07254762501100116
Sparsity_0.832,minkowski_p4,5.9,0.09999999999999999
Sparsity_0.902,euclidean,5.65,0.1094243309804831
Sparsity_0.902,manhattan,5.3,0.10513149660756936
Sparsity_0.902,cosine,5.15,0.08191780219091252
Sparsity_0.902,minkowski_p0.1,2.0,0.0
Sparsity_0.902,minkowski_p0.5,3.75,0.09933992677987828
Sparsity_0.902,minkowski_p0.7,4.55,0.1352385806055747
Sparsity_0.902,minkowski_p4,5.8,0.11697953037312035
