Dataset,Distance,Mean_ARI,Std_Error,Mean_ARI_Stability,Std_Error_Stability,Mean_Homogeneity,Std_Error_Homogenity,Mean_Completeness,Std_Error_Completeness,Mean_V_Score,Std_Error_V_Score
Sparsity_0.124,euclidean,0.6069977017403734,0.004753381470468886,1.0,0.0,0.6616122362309504,0.0025515263778367733,0.6438272228415147,0.0049546623727905964,0.6525410627177977,0.003728116667226661
Sparsity_0.124,manhattan,0.6347646547947933,0.003504452125257864,1.0,0.0,0.6823279341939815,0.002446040841726521,0.6723583508080881,0.004448896251693704,0.6772612550615646,0.003376698900621344
Sparsity_0.124,cosine,0.49430946193557157,0.0039695678653743445,1.0,0.0,0.5464341501624954,0.004983967969196988,0.5455223934838822,0.0032618858340134707,0.5459243889533034,0.003971653388915854
Sparsity_0.124,minkowski_p0.1,0.43982933056124357,0.029901378127777163,1.0,0.0,0.4815058055409877,0.02562568902271703,0.7838255602184433,0.008165896014998968,0.5869079544309307,0.020182422886015645
Sparsity_0.124,minkowski_p0.5,0.6463055667060309,0.004354168335637494,1.0,0.0,0.6558121291487893,0.004572435315890605,0.7479040606480198,0.004422288847452906,0.6985989539740479,0.0034418784851079575
Sparsity_0.124,minkowski_p0.7,0.6496708868773736,0.003149013049585355,1.0,0.0,0.6842316893549452,0.0033647874746038317,0.6994226165263119,0.004740227744394203,0.6915037404879707,0.002843242711012908
Sparsity_0.124,minkowski_p4,0.5889892302548609,0.003670709457077676,1.0,0.0,0.6451703532484142,0.002244589055016886,0.6233499098008444,0.0025825838350861103,0.6340616852646765,0.002353070165980795
Sparsity_0.327,euclidean,0.562974520236277,0.0068390503746306236,0.7131998708889866,0.013605330835795505,0.619933015390176,0.004603232296387093,0.5673116650922135,0.00677775089758268,0.5920785022727901,0.0048925703823759145
Sparsity_0.327,manhattan,0.6069233901434603,0.0046647366168782334,0.7801186513816359,0.006689929068828122,0.6440743328344062,0.004755887703538633,0.6437152821420373,0.005496022085818148,0.6438501882839227,0.004979045410532408
Sparsity_0.327,cosine,0.48282674504573453,0.008138067942586532,0.5781134583892735,0.008661764771336558,0.5456233480842565,0.006106252350130922,0.5014142021105192,0.007594285525842188,0.5224855048120534,0.006742589629835224
Sparsity_0.327,minkowski_p0.1,0.30628058099645683,0.027532952463979868,0.31149575780296174,0.02713112195777862,0.3649827328020346,0.0235572987268827,0.8106768194869272,0.012064443159177375,0.4910183055197973,0.01907368243876993
Sparsity_0.327,minkowski_p0.5,0.621890809885534,0.004340836612349021,0.7054582152201686,0.005468873292355542,0.627798857263024,0.004252789372540351,0.7189468643041861,0.006879417431825028,0.6700667419452742,0.004720558426857823
Sparsity_0.327,minkowski_p0.7,0.6259821244504635,0.004489208385916441,0.7576458142286121,0.005492945805761056,0.6551795301728907,0.005068980653303901,0.6771094919493948,0.004620756587670177,0.6657505870993863,0.004062598437629691
Sparsity_0.327,minkowski_p4,0.5348677900440382,0.005252245296543886,0.7081847330463558,0.01136452484487628,0.5922835979052152,0.004042463086244448,0.5416912360135405,0.005691049852208897,0.5655443083899943,0.004026669695901923
Sparsity_0.389,euclidean,0.6285966525686618,0.005485134818646032,0.8459044482899879,0.008201732151392669,0.6813593050870702,0.003456878284636305,0.6641418990959248,0.004503421028234197,0.6726238620978127,0.003960965631937075
Sparsity_0.389,manhattan,0.6545162111680831,0.004096075285311991,0.7933427270495301,0.005374189357902837,0.6969530836303193,0.0033787745565368576,0.697507818390481,0.004190902532047158,0.6971597407205813,0.0034245521309374744
Sparsity_0.389,cosine,0.5434047574080816,0.005674620417481335,0.7558683381124356,0.009467508222731484,0.5999035793603997,0.006103703420075204,0.6169341226872446,0.008211479763445002,0.6082667279803651,0.007128986175424526
Sparsity_0.389,minkowski_p0.1,0.29219346314615374,0.026107405711080927,0.2972874727210214,0.025408028821641816,0.34838880339838363,0.02197217671738743,0.8102437363552151,0.009351845265268912,0.4778586986094706,0.019268768941334585
Sparsity_0.389,minkowski_p0.5,0.6640562437214944,0.002500577619577972,0.7267229719541155,0.002488746133108882,0.6728077967910113,0.0027901345094510236,0.7492002949089743,0.003254980961346986,0.7089124490841311,0.002754000584558074
Sparsity_0.389,minkowski_p0.7,0.6625292033668632,0.0024239982002974203,0.7623459543503086,0.0035743355246159493,0.693334517620312,0.004002229953323326,0.7148962845236176,0.003301359241432502,0.7036810145123626,0.0019474029141004444
Sparsity_0.389,minkowski_p4,0.6073078301127035,0.004288772535666902,0.8581116188266883,0.00892040577304781,0.6567731828354739,0.0024052081625040053,0.6390462701577897,0.004262048932433296,0.6477359348408159,0.0032240100433598784
Sparsity_0.461,euclidean,0.5776559054372902,0.004393519011702241,0.8379287837051731,0.007002944942920744,0.6341892018236892,0.0026570476172960286,0.61011088940591,0.0040915713575435326,0.6218547646211892,0.003181463165192828
Sparsity_0.461,manhattan,0.614572899510112,0.0030218339332179884,0.8256465532404847,0.008747461820483915,0.6593524058804082,0.002141564201702513,0.64552187900907,0.00306019944640286,0.652320444320272,0.0023615499356252406
Sparsity_0.461,cosine,0.46503065516887465,0.0020714200826208143,0.6290558178522356,0.0034468898616477704,0.5165707475198579,0.0023572802345088687,0.517911335056126,0.0022720919242699093,0.5172399113661903,0.0023137398434904884
Sparsity_0.461,minkowski_p0.1,0.33036903540898177,0.0327818189485119,0.3291664609622199,0.030365936111347542,0.36837300331151895,0.02501654061302691,0.7958514273402016,0.009792343295653502,0.4907885556490242,0.021075150976490802
Sparsity_0.461,minkowski_p0.5,0.639960343546525,0.002477258389898088,0.7100092172637107,0.006246307827078479,0.6441280674412596,0.002472928014453263,0.7254323308620028,0.006659614160760269,0.6821464236944075,0.0036980006875092725
Sparsity_0.461,minkowski_p0.7,0.6333867699696472,0.004466138402911353,0.7609907922255855,0.007424309451045931,0.6531925022591645,0.004675100399744927,0.6954794924726093,0.0065860890598452276,0.6731421750766837,0.0036483970402168306
Sparsity_0.461,minkowski_p4,0.5752446237643597,0.002546650759945893,0.8263592509327895,0.010309630354259306,0.6251886079259299,0.001974709462855907,0.5939822751125131,0.002738393887450699,0.6091597531125125,0.002233753440439601
Sparsity_0.526,euclidean,0.5669470870793042,0.004361993067836486,0.8180519814566873,0.011006964206742756,0.6206405980597398,0.0031170520019728723,0.5939704410456803,0.004067888659063684,0.6069781518003656,0.0035018441679789346
Sparsity_0.526,manhattan,0.6022525126884656,0.0030198508504153494,0.8469919563572494,0.00600111300216182,0.6552394040562699,0.0022244889744830712,0.6411207695976793,0.0034793743958375775,0.6480759237526381,0.0027717829094021824
Sparsity_0.526,cosine,0.4783068047160482,0.003051246686310007,0.6485356876052123,0.005092197458084877,0.5238886334589372,0.0037407336969664685,0.5239501342902272,0.002604084818867989,0.5238632685020036,0.0029297874647707927
Sparsity_0.526,minkowski_p0.1,0.34871362918579807,0.029160781696358225,0.35189508535060066,0.028734204578845526,0.4108627623958439,0.02419756773226002,0.8375885534703101,0.014521849831583323,0.5383850642314911,0.019352627376998673
Sparsity_0.526,minkowski_p0.5,0.6263957459602246,0.0034584780671965878,0.7431475497898277,0.0046003923517412984,0.6404993476729842,0.002793160877096158,0.714118676511333,0.005779014809788904,0.6751539947179528,0.003605030094500401
Sparsity_0.526,minkowski_p0.7,0.6208900964523447,0.0035910696543884624,0.7823191144931527,0.006514867965286703,0.6565721120146966,0.005006846628549846,0.6732770327100257,0.004258048976437025,0.6644489275900048,0.002997521762527252
Sparsity_0.526,minkowski_p4,0.5444993448197613,0.004045740991944037,0.8349632148667233,0.008667393798094883,0.5974211655789788,0.0026342773581697837,0.5683135572816995,0.004199258830270588,0.5824468576076678,0.0033263516036622386
Sparsity_0.581,euclidean,0.5963996419916069,0.003914392676216141,0.818554443810271,0.009433881929420329,0.6460543372906573,0.002686847266455274,0.6286156057069083,0.0036442997357669957,0.6371855675009164,0.0030627013099991467
