Dataset,Distance,Num_Clusters_Mean,Num_Clusters_Std_Error
Sparsity_0.125,euclidean,8.55,0.1352385806055747
Sparsity_0.125,manhattan,7.65,0.13128915456069917
Sparsity_0.125,cosine,5.65,0.13128915456069917
Sparsity_0.125,minkowski_p0.1,2.65,0.10942433098048311
Sparsity_0.125,minkowski_p0.5,4.95,0.04999999999999999
Sparsity_0.125,minkowski_p0.7,7.45,0.1352385806055747
Sparsity_0.125,minkowski_p4,8.85,0.08191780219091253
Sparsity_0.362,euclidean,8.35,0.13128915456069917
Sparsity_0.362,manhattan,7.8,0.11697953037312035
Sparsity_0.362,cosine,6.05,0.04999999999999999
Sparsity_0.362,minkowski_p0.1,2.55,0.11413288653790232
Sparsity_0.362,minkowski_p0.5,4.95,0.04999999999999999
Sparsity_0.362,minkowski_p0.7,6.3,0.2064741604835056
Sparsity_0.362,minkowski_p4,8.3,0.16383560438182507
Sparsity_0.432,euclidean,8.65,0.13128915456069917
Sparsity_0.432,manhattan,8.0,0.16222142113076252
Sparsity_0.432,cosine,6.35,0.16662280124501821
Sparsity_0.432,minkowski_p0.1,2.55,0.11413288653790232
Sparsity_0.432,minkowski_p0.5,5.45,0.11413288653790232
Sparsity_0.432,minkowski_p0.7,6.75,0.09933992677987828
Sparsity_0.432,minkowski_p4,8.65,0.13128915456069917
Sparsity_0.482,euclidean,7.95,0.15346866644024557
Sparsity_0.482,manhattan,6.95,0.04999999999999999
Sparsity_0.482,cosine,5.7,0.10513149660756936
Sparsity_0.482,minkowski_p0.1,2.55,0.11413288653790232
Sparsity_0.482,minkowski_p0.5,5.0,0.0
Sparsity_0.482,minkowski_p0.7,6.45,0.1352385806055747
Sparsity_0.482,minkowski_p4,8.9,0.20390916450326857
Sparsity_0.539,euclidean,7.8,0.1555973210430998
Sparsity_0.539,manhattan,6.25,0.16018081887929686
Sparsity_0.539,cosine,5.95,0.08810878443570108
Sparsity_0.539,minkowski_p0.1,2.75,0.09933992677987828
Sparsity_0.539,minkowski_p0.5,5.0,0.0
Sparsity_0.539,minkowski_p0.7,5.35,0.15
Sparsity_0.539,minkowski_p4,8.15,0.18173143863810054
Sparsity_0.595,euclidean,7.55,0.1352385806055747
Sparsity_0.595,manhattan,6.8,0.09176629354822469
Sparsity_0.595,cosine,5.75,0.16018081887929686
Sparsity_0.595,minkowski_p0.1,2.5,0.11470786693528086
Sparsity_0.595,minkowski_p0.5,5.0,0.0
Sparsity_0.595,minkowski_p0.7,6.1,0.16059101370939322
Sparsity_0.595,minkowski_p4,8.3,0.12773327473170104
Sparsity_0.651,euclidean,6.75,0.12301048307916045
Sparsity_0.651,manhattan,6.0,0.16222142113076252
Sparsity_0.651,cosine,5.85,0.15
Sparsity_0.651,minkowski_p0.1,2.1,0.06882472016116851
Sparsity_0.651,minkowski_p0.5,5.0,0.0
Sparsity_0.651,minkowski_p0.7,5.0,0.0
Sparsity_0.651,minkowski_p4,6.9,0.1762175688714022
Sparsity_0.694,euclidean,6.25,0.14281014264436984
Sparsity_0.694,manhattan,5.3,0.10513149660756936
Sparsity_0.694,cosine,5.25,0.14281014264436984
Sparsity_0.694,minkowski_p0.1,2.05,0.04999999999999999
Sparsity_0.694,minkowski_p0.5,4.9,0.06882472016116853
Sparsity_0.694,minkowski_p0.7,4.9,0.06882472016116853
Sparsity_0.694,minkowski_p4,5.85,0.10942433098048308
Sparsity_0.752,euclidean,6.8,0.15559732104309984
Sparsity_0.752,manhattan,5.4,0.11239029738980327
Sparsity_0.752,cosine,5.95,0.04999999999999999
Sparsity_0.752,minkowski_p0.1,2.4,0.11239029738980327
Sparsity_0.752,minkowski_p0.5,4.6,0.11239029738980327
Sparsity_0.752,minkowski_p0.7,4.95,0.04999999999999999
Sparsity_0.752,minkowski_p4,6.2,0.17167901505579042
Sparsity_0.830,euclidean,6.75,0.12301048307916045
Sparsity_0.830,manhattan,5.75,0.12301048307916045
Sparsity_0.830,cosine,5.45,0.11413288653790232
Sparsity_0.830,minkowski_p0.1,2.0,0.0
Sparsity_0.830,minkowski_p0.5,3.7,0.10513149660756936
Sparsity_0.830,minkowski_p0.7,4.75,0.09933992677987828
Sparsity_0.830,minkowski_p4,6.65,0.13128915456069917
Sparsity_0.900,euclidean,5.35,0.1094243309804831
Sparsity_0.900,manhattan,5.15,0.08191780219091252
Sparsity_0.900,cosine,5.7,0.127733274731701
Sparsity_0.900,minkowski_p0.1,1.15,0.08191780219091253
Sparsity_0.900,minkowski_p0.5,3.75,0.09933992677987828
Sparsity_0.900,minkowski_p0.7,4.2,0.11697953037312035
Sparsity_0.900,minkowski_p4,6.6,0.1337712108119877
